22/02/2024
SCRIP CODE	SCRIP NAME	CAPITAL(No. of shares in lacs)
515030	Asahi India Glass Ltd.	2430.89931
515037	Murudeshwar Ceramics Ltd.	576.95260
515043	Saint-Gobain Sekurit India Ltd	911.05700
515053	Gujarat Refractories Ltd.	29.00000
515055	Anant Raj Limited	3409.88226
515059	Madhusudan Industries Ltd.	53.75000
515081	Sri Vajra Granites Ltd.	72.62200
515085	Restile Ceramics Ltd.	982.79239
515093	Madhav Marbles & Granites Ltd.	89.47000
515111	Prakash Ceramics Ltd	34.20000
515127	Ramasigns Industries Limited	285.50000
515145	Hindusthan National Glass & In	895.53565
515147	Haldyn Glass Limited	537.51700
516003	DUROPLY INDUSTRIES LIMITED	84.72462
516016	Shreyans Industries Limited.	138.24550
516020	Agio Paper & Industries Limite	161.25400
516022	Star Paper Mills Ltd.	156.08350
516030	PAKKA LIMITED	391.68100
516032	TAHMAR ENTERPRISES LIMITED	311.89000
516038	Soma Papers & Industries Ltd.	14.02150
516062	National Plywood Industries Lt	246.42750
516064	Arrow Greentech Limited	150.87938
516072	Vishnu Chemicals Limited	655.27195
516078	Jumbo Bag ltd.	83.73700
516082	N.R.Agarwal Industries Ltd.	170.19100
516086	Shree Rajeshwaranand Paper Mil	124.50000
516092	3P LAND HOLDINGS LTD.	180.00000
516096	Sangal Papers Ltd.	13.07260
516098	Ventura Textiles Ltd.	194.53289
516106	Shree Karthik Papers Ltd.	191.10000
516108	South India Paper Mills Ltd.	187.50000
516110	FAMILY CARE HOSPITALS LIMITED	540.14774
517015	Vindhya Telelinks Ltd.	118.50863
517035	RIR POWER ELECTRONICS LIMITED	69.57240
517041	Ador Welding Ltd.	135.98467
517044	International Data Managements	22.00000
517059	Salzer Electronics Ltd.	173.82737
517063	Jetking Infotrain Ltd.	59.07500
517077	Ind-Agiv Commerce Ltd.	10.00000
517096	Aplab Ltd.	110.90000
517119	PCS Technology Ltd.	209.50677
517146	Usha Martin Ltd.	3047.41780
517159	Telephone Cables Ltd	98.90000
517164	Zenith Computers Ltd.	154.80840
517166	SPEL Semiconductor Ltd.	461.17443
517168	Subros Ltd.	652.35750
517170	Edvenswa Enterprises Limited	189.30000
517172	Pervasive Commodities Limited	0.95220
517174	Honeywell Automation India Ltd	88.41523
517176	Webel Communication Industries	18.00000
517201	Switching Technologies Gunther	24.50000
517206	Lumax Industries Ltd.	93.47732
517214	DIGISPICE TECHNOLOGIES LIMITED	2321.35106
517228	Trend Electronics Limited	75.00000
517230	PAE LTd.	104.19600
517236	Calcom Vision Ltd.	134.56470
517238	Dynavision Limited	38.40000
517242	SAKA LIMITED	96.76767
517246	BCC Fuba India Ltd.	153.10050
517258	Precision Electronics Ltd.	138.48512
517264	Fine-line Circuits Ltd.	48.07786
517271	HBL Power Systems Ltd.	2771.94946
517273	S & S Power Switchgears Ltd.	62.00000
517286	Autopal Industries Ltd.	34.96368
517288	Gujarat Poly Electronics Limit	85.50000
517300	Gujarat Industries Power Co. L	1512.51188
517320	Savant Infocomm Limited	33.80300
517330	CMI Limited	160.27457
517334	Samvardhana Motherson Internat	67761.98972
517336	Modern Malleables Limited	1165.25000
517344	Mindteck (India) Ltd	253.46776
517354	Havells India Limited	6266.83030
517356	ACI Infocom Ltd.	1104.90900
517360	SBEC Systems (Ind) Ltd.	100.00000
517370	Incap Ltd	46.53200
517372	Gujarat Intrux Limited	34.35300
517380	Igarashi Motors India Ltd.	314.75048
517385	Symphony Limited	689.57000
517393	Vintron Informatics Ltd.	783.55800
517397	Pan Electronics India Ltd.	40.00000
517399	VXL Instruments Ltd.	133.24800
517411	Shyam Telecom Ltd.	112.70000
517415	Lee & Nee Softwares (Exports)	557.74000
517417	Patels Airtemp (I) Ltd.	54.70240
517421	Butterfly Gandhimathi Applianc	178.79551
517423	Integra Switchgear Ltd.	28.81600
517429	Athena Global Technologies Lim	140.50000
517431	Narmada Macplast Drip Irrigati	36.23000
517433	Innovation Software Exports Lt	30.00000
517437	Dutron  Polymers Ltd.	60.00000
517447	R S Software India Ltd.	257.08318
517449	Magna Electro Castings Ltd.	42.32104
517463	Linaks Microelectronics Ltd.	173.35300
517467	MARSONS LIMITED	1400.00000
517477	Elnet Technologies Ltd.	40.00007
517494	ACCEL LIMITED	575.72401
517498	Websol Energy System Limited	422.06347
517500	Roto Pumps Ltd.	314.07610
517506	TTK Prestige Ltd.	1386.14020
517514	D & H India Limited	81.88000
517518	Leel Electricals Limited	403.32260
517522	Rajratan Global Wire Ltd	507.71000
517526	Inditalia Refcon Ltd.	119.00700
517530	Surana Telecom And Power Limit	1357.59963
517536	Onward Technologies Ltd.	225.01770
517544	Centum Electronics Ltd	128.88434
517546	Alfa Transformers ltd.	91.50645
517548	Starlite Components Ltd.	171.00000
517554	NHC FOODS LIMITED	118.55000
517556	PVP Ventures Ltd	2604.03681
517562	Trigyn Technologies Ltd.	307.85736
517564	G.R.Cables Ltd.	288.94861
517569	KEI Industries Ltd.	902.41438
517571	IMP Power Ltd.	86.36563
518011	Keerthi Industries Ltd	80.16738
518017	Bheema Cements Limited	326.10002
518029	Gujarat Sidhee Cement Limited.	893.98236
518053	Sri Chakra Cement Limited	90.00000
518075	Suraj Products Ltd.	114.00000
518091	Anjani Portland Cement Ltd.	293.74764
519003	Modi Naturals Limited	126.56397
519014	Prashant India Ltd	42.35443
519031	Shah Foods Ltd	5.97500
519064	Khandelwal Extraction Ltd.	8.50100
519091	Tasty Bite Eatables Ltd.	25.66000
519097	Ritesh International Ltd	85.52822
519105	AVT Natural Products Ltd.	1522.84000
519126	Hindustan Foods Ltd.	1127.42690
519136	Nahar Industrial Enterprises L	432.05581
519140	Vegepro Foods & Feeds Ltd.	212.80000
519152	Vadilal Enterprises Ltd.	8.62668
519156	Vadilal Industries Ltd.	71.87830
519168	Nijjer Agro Food Ltd.	102.00000
519174	Ashiana Agro Industries Ltd	46.00000
519183	ADF Foods Limited.	1098.63595
519187	Fortune Foods Ltd	43.60000
519191	Retro Green Revolution Limited	90.38000
519214	Williamson Financial Services	83.59136
519216	Ajanta Soya Limited	804.82990
519224	William Magor & Company Limite	109.56360
519230	Richirich Inventures Limited	88.00000
519234	Superior Industrial Enterprise	138.50000
519238	Saptarishi Agro Industries Ltd	340.22042
519242	Sarda Proteins Ltd	17.25900
519260	SANWARIA CONSUMER LIMITED	7361.00000
519262	Prima Agro Ltd.	51.94900
519279	Madhur Industries Limited	40.90000
519285	Tarai Foods Ltd.	177.28120
519287	Modern Dairies Ltd.	233.19861
519295	Bambino Agro Industries Ltd	80.08846
519299	Prime Industries Ltd.	156.53400
519307	Vikas WSP Ltd.	2044.39600
519319	JATALIA GLOBAL VENTURES LIMITE	37.05720
519331	VSF Projects Limited	65.76747
519353	Bansisons Tea Industries Ltd.	63.30000
519359	Poona Dal And Oil Industries L	57.08000
519367	Transglobe Foods Ltd.	1.44895
519383	Anik Industries Limited	277.53486
519397	Sharat Industries Ltd.	239.12500
519403	Milk Specialities Ltd.	90.03100
519413	DATIWARE MARITIME INFRA LIMITE	50.00000
519415	KMG Milk Food Limited	53.04600
519421	KSE Ltd.	32.00000
519439	Pioneer Agro Extracts ltd.	43.32300
519451	Vadilal Dairy International Lt	31.94150
519455	Narbada Gems and Jewellery Lim	211.57310
519457	Virat Crane Industries Ltd	204.23750
519463	IB Infotech Enterprises Ltd	12.80721
519471	Ambar Protein Industries Limit	57.50000
519475	Chordia Food Products Ltd	40.28252
519477	CIAN Agro Industries & Infrast	279.85895
519479	Omega Ag-Seeds (Punjab) ltd.	79.04000
519483	Tai Industries Ltd.	60.00000
519494	N.K.Industries Ltd.	60.09900
519500	BKV Industries Ltd.	154.48584
519506	NCC Bluewater Products Ltd.	77.50000
519528	Norben Tea & Exports Ltd	117.50000
519532	Asian Tea & Exports Ltd.	200.00000
519546	Kengold (India) Ltd.	95.15250
519552	Heritage Foods Limited	927.96000
519560	Neha International Ltd.	283.79568
519566	Simran Farms Ltd.	37.91700
519570	Lakshmi Overseas Industries Lt	699.70000
519574	Hindustan Agrigenetics Ltd.	44.00200
519600	CCL Products (India) Ltd.	1330.27920
519602	Kellton Tech Solutions Ltd.	967.94132
519604	Suryo Foods & Industries Ltd.	39.60000
519606	Integrated Proteins Ltd.	36.75200
519612	Mahaan Foods Ltd.	35.00700
520008	RICO Auto Industries Ltd.	1352.85000
520021	Omax Autos Ltd.	213.88213
520043	Munjal Showa Ltd.	399.95000
520051	Jamna Auto Industries Ltd.	3988.63885
520056	TVS Holdings Limited	202.32104
520057	JTEKT India Limited	2443.88689
520059	Munjal Auto Industries Ltd.	1000.00000
520066	Jay Bharat Maruti Ltd.	1082.50000
520073	RACL Geartech Limited	107.81600
520075	Samkrg Pistons and Rings Ltd.	98.20500
520081	East Coast Steel Ltd	53.96468
520086	Sical Logistics Limited	652.49080
520111	Ratnamani Metals & Tubes Ltd	700.92000
520113	Vesuvius India Ltd.	202.96080
520119	Automotive Stampings and Assem	158.64397
520121	Arcee Indusrtries ltd.	51.38777
520123	ABC India Ltd.	54.17232
520127	Balurghat Technologies Ltd.	182.00000
520131	Coastal Roadways Ltd.	41.46565
520133	Alang Marine Ltd.	60.11280
520141	Sibar Auto Parts Ltd.	165.25100
520149	Mafatlal Lubricants Ltd.	100.00000
520151	Shreyas Shipping And Logistics	219.57533
520155	Starlog Enterprises Limited	119.66985
521003	Shiva Suitings Ltd.	15.50395
521005	TITAN INTECH LIMITED	109.94579
521009	Niwas Spinning Mills Ltd.	140.89393
521014	Eurotex Industries & Exports L	87.49865
521016	Indo Count Industries Ltd	1980.54340
521018	Maral Overseas Ltd.	415.08000
521030	Nakoda Limited	3000.00000
521034	Soma Textile & Industries Ltd	330.33000
521036	Source Industries (India) Ltd	114.03110
521048	Advance Lifestyles Ltd.	62.25750
521054	Kakatiya Textiles Ltd.	58.10600
521062	Perfect-Octave Media Projects	347.00100
521064	Trident Ltd	50959.55670
521068	Hisar Spinning Mills Ltd	37.35000
521070	Alok Industries Ltd.	49652.40401
521076	Amit Spinning Industries Ltd.	411.69667
521080	Pasari Spinning Mills Ltd.	138.00000
521082	Spentex Industries Ltd.	897.72035
521097	Amarjothi Spinning Mills Ltd	67.50000
521105	Olympia Industries Ltd.	60.23570
521109	Nagreeka Exports Ltd.	124.99700
521113	Suditi Industries Ltd.	263.67291
521127	Khator Fibre & Fabrics Ltd.	42.50000
521131	Shree Bhavya Fabrics Limited	95.00000
521133	Gem Spinners India Ltd	613.71990
521137	Eureka Industries Ltd.	87.50000
521141	Aditya Spinners Ltd.	167.40888
521149	Prime Urban Development India	266.43600
521151	Dhanlaxmi Fabrics Ltd.	85.81100
521161	Sri Lakshmi Saraswathi Textile	33.32750
521163	Zodiac Clothing Co. Ltd.	259.93717
521167	Frontline Business Solutions L	213.24078
521176	Gangotri Textiles Ltd.	326.14634
521178	Sri Ramakrishna Mills (Coimbat	71.18330
521180	Super Spinning Mills Ltd.	550.00000
521182	Seasons Furnishings Ltd.	73.93900
521188	United Textiles Ltd.	30.00000
521194	SIL Investments Ltd	105.95860
521200	Suryalakshmi Cotton Mills Ltd.	188.05290
521206	Samtex Fashions Ltd.	745.00000
521210	Cityman Limited	117.01100
521216	Dhanalaxmi Roto Spinners Ltd.	39.00300
521220	Damodar Industries Limited	233.00000
521222	Sanblue Corporation Limited	49.99575
521226	Uniroyal Industries Ltd	82.68720
521228	Tatia Global Vennture Limited	1516.20000
521232	Sunil Industries Ltd.	42.00000
521234	Sri Nachammai Cotton Mills Ltd	43.00000
521238	KKRRAFTON Developers Limited	5.59600
521240	Sambandam Spinning Mills Ltd.	42.64600
521242	Kandagiri Spinning Mills Ltd.	38.49250
521244	MKP Mobility Limited	34.11030
521246	Paras Petrofils Ltd.	3342.21000
521248	Kitex Garmenets Ltd.	665.00000
522001	Cranex Ltd.	60.00000
522004	Batliboi Ltd	290.45884
522005	Austin Engineering Co. Ltd.	34.77800
522014	United Drilling Tools Ltd.	203.03126
522017	Fluidomat Ltd.	49.27000
522027	Ema India Ltd.	10.05000
522029	Windsor Machines Limited	649.31800
522034	Shanthi Gears Ltd.	767.15853
522036	Miven Machine Tools Ltd.	30.03500
522042	S.M. Energy Teknik & Electroni	123.12000
522064	HONDA INDIA POWER PRODUCTS LIM	101.43071
522073	The Hi-Tech Gears Limited	187.78186
522074	Elgi Equipments Ltd.	3169.09016
522085	Stone India Ltd.	95.96499
522091	United Van Der Horst Ltd.	61.76000
522101	Kilburn Engineering Ltd	375.70358
522105	Birla Precision Technologies L	652.71137
522108	Yuken India Ltd.	130.00000
522113	Timken India Ltd	752.18734
522122	Voith Paper Fabrics India Ltd	43.92559
522134	Artson Engineering Ltd	369.20000
522150	Aditya Forge Ltd	43.08600
522152	Solitaire Machine Tools Ltd	45.42176
522163	Diamond Power Infrastructure L	526.97106
522165	Indsil Hydro Power and Mangane	277.91122
522171	TMT (India) ltd.	49.53800
522183	ITL Industries Ltd.	32.04300
522195	Frontier Springs Ltd.	39.38511
522205	Praj Industries Ltd.	1838.13088
522207	Rasandik Engg. Industries Indi	59.75000
522209	Yogi Sung-won (India) Ltd.	168.45800
522215	HLE GLASCOAT LIMITED	682.65480
522217	Gujarat Apollo Industries Ltd.	118.00000
522229	Taneja Aerospace & Aviation Lt	249.30736
522231	Conart Engineers Ltd.	31.40000
522235	Minal Industries Limited	1919.00650
522237	Shivagrico Implements Ltd.	50.13600
522241	M.M.Forgings Ltd.	241.40800
522245	Iykot Hitech Toolroom Ltd	60.84000
522249	Mayur Uniquoters ltd.	439.52600
522251	Cenlub Industries Ltd.	46.62899
522257	Rajoo Engineers Ltd.	615.30750
522261	Dolphin Offshore Enterprises (	400.04580
522267	Veejay Lakshmi Engineering Wor	50.71900
522271	Union Bearings (India) Ltd.	36.53150
522273	Ahmedabad Steelcraft Ltd.	40.92000
522275	GE T&D India Limited	2560.46535
522281	Ram Ratna Wires Ltd.	440.00000
522285	Jayaswal Neco Industries Ltd	9709.98244
522287	KALPATARU PROJECTS INTERNATION	1624.46152
522289	NMS RESOURCES GLOBAL LIMITED	30.05600
522292	CANDOUR TECHTEX LIMITED	169.37263
522294	T & I Global Ltd.	50.67700
522295	Control Print (India) Ltd.	159.94212
522650	Bemco Hydraulics Ltd.	21.86700
523007	Ansal Buildwell Ltd.	73.83843
523011	Weizmann Limited.	158.59021
523019	B.N.Rathi Securities Ltd.	102.50000
523021	Rishi Techtex Limited	73.91000
523023	Sinclairs Hotels  Ltd	512.60000
523025	Safari Industries (India) Ltd.	475.67214
523031	A.D.S. Diagnostics Ltd.	22.50000
523054	Binayak Tex Processors  Ltd.	7.11300
523062	J.J. Finance Corporation Ltd.	28.20000
523100	Cosmo Ferrites Ltd.	120.30000
523105	CROPSTER AGRO LIMITED	250.00000
523113	Futuristic Securities Ltd	19.50000
523116	Sanco Trans Ltd.	18.00000
523120	Ador Multiproducts Ltd	46.73633
523127	EIH Associated Hotels Ltd.	304.68147
523144	Medi-Caps Ltd.	124.69956
523151	Otco International Ltd	129.68120
523160	Morganite Crucible (India) Lim	56.00000
523164	SIP Industries Ltd	46.76415
523186	B&A Packaging India Limited	22.10000
523204	Aban  Offshore Ltd.	583.65323
523207	Kokuyo Camlin Ltd	1003.03806
523209	Nicco-Uco Alliance Credit Ltd.	830.45503
523218	Kilburn Office Automation Ltd.	67.50100
523222	SRM Energy Limited	90.60000
523229	Bharat Seats Ltd	314.00000
523230	Jalpac India Ltd.	68.90000
523232	Continental Petroleums Ltd.	49.30624
523242	N.B. Footwear Ltd.	135.00000
523246	Chokhani International Ltd.	327.74150
523248	Machino Plastics Ltd	61.36800
523260	Pearl Polymers Ltd.	168.34932
523261	Venky's (India) ltd.	140.87336
523269	Advani Hotels & Resorts (India	462.19250
523277	G.V. Films  Ltd.	9146.27833
523283	Superhouse limited	110.25000
523289	Rama Vision Ltd	104.26266
523301	TCPL Packaging Limited	91.00000
523309	Shri Gang Industries & Allied	179.30000
523315	Purity Flex Pack Ltd	7.80000
523319	Balmer Lawrie & Co. Ltd.	1710.03846
523323	Kovai Medical Center & Hospita	109.42262
523329	Eldeco Housing & Ind. Ltd.	98.33000
523343	Microse India Limited	30.03000
523351	Standard Shoe Sole and Mould (	51.81500
523367	DCM Shriram Limited	1559.42296
523369	DCM Shriram Industries Ltd.	869.92185
523371	Mawana Sugars Ltd	391.16864
523373	Mini Diamonds (India) Ltd.	35.69116
523384	Maha Rashtra Apex Corporation	141.50100
523385	Nilkamal Limited	149.22525
523387	Triton Corp. Ltd.	1998.89650
523391	Nahar Polyfilms Ltd.	245.87991
523395	3M India Ltd.	112.65070
523398	Johnson Controls-Hitachi Air C	271.90884
523405	JM Financial Limited	9555.72940
523411	ADC India Communications Limit	46.00000
523415	Coventry Coil-O-Matic (Haryana	45.08000
523419	Tamilnadu Telecommunications L	456.81000
523425	Sunraj Diamond Exports Ltd.	53.30400
523445	Reliance Industrial Infrastruc	151.00000
523449	Sharp India Ltd	259.44000
523457	Linde India Limited	852.84223
523465	Ind Bank Housing Ltd	100.00000
523467	Jai Mata Glass Ltd.	1000.00000
523475	Lotus Chocolate Co. Ltd.	128.41049
523483	Pacific Industries ltd.	68.92650
523489	Chennai Meenakshi Multispecial	74.68920
523519	Universal Office Automation Li	146.52686
523523	Rainbow Papers Ltd.	1062.17300
523537	APM Industries Ltd.	216.11360
523539	Precision Wires India ltd.	1786.57975
523544	Monica Electronics Ltd.	43.00000
523550	Krypton Industries Ltd	146.97130
523558	SWISS MILITARY CONSUMER GOODS	1965.93992
523566	Martin Burn Ltd	51.53859
523574	Future Enterprises Limited	4549.30401
523586	Indian Toners & Developers Ltd	108.50000
523594	Kunststoffe Industries Ltd.	68.90000
523598	Shipping Corporation Of India	4657.99010
523606	Sika Interplant Systems Ltd.	42.40175
523610	ITI Limited (Indian Teleph.Ind	9608.86938
523618	Dredging Corporation of India	280.00000
523620	Phaarmasia Limited.	68.26960
523628	Poddar Housing and Development	63.15400
523630	National Fertilizers Ltd.	4905.78400
523638	IP Rings Ltd.	126.75865
523642	PI Industries Limited	1517.18118
523648	Plastiblends India Ltd.	259.89200
523650	YASH INNOVENTURES LIMITED	67.21150
523652	Kkalpana Plastick Limited	55.28535
523660	Waterbase Limited	414.26779
523672	Flex Foods Ltd.	124.50000
523676	Golkunda Diamonds & Jewellery	69.64080
523694	Apcotex Industries Limited	518.44960
523696	Fortis Malar Hospitals Limited	187.41759
523704	Mastek Limited	306.74659
523708	EIMCO Elecon India Ltd.	57.68385
523710	Sayaji Hotel Ltd	175.17977
523712	JMG Corporation Ltd	231.57895
523716	Ashiana Housing Limited	1005.24857
523722	Svam Software Ltd	168.89000
523732	Ecoboard Industries Ltd	178.32000
523736	Dhunseri Ventures Limited	350.24754
523752	TRANS INDIA HOUSE IMPEX LIMITE	319.26000
523754	MAHINDRA EPC IRRIGATION LIMITE	279.12808
523782	Mitshi India Limited	88.00000
523790	Shukra Jewellers Limited	135.72800
523792	Mazda Ltd.	40.05000
523796	Viceroy Hotels Ltd.	424.05224
523820	Neo Corp International Ltd	380.22198
523826	Sovereign Diamonds Ltd	57.88002
523828	Menon Bearings Ltd	560.40000
523832	Mukat Pipes Limited	118.30000
523836	Gujarat Raffia Ind. Ltd.	54.04500
523838	Simplex Infrastructures Limite	571.42820
523840	Innovative Tech Pack Ltd	224.65000
523842	Super Tannery Limited	1079.73360
523844	CONSTRONICS INFRA LIMITED	72.09041
523850	Axtel Industries Ltd.	161.54800
523862	Pacheli Industrial Finance Lim	37.32050
523874	Precision Containeurs Limited.	223.81200
523876	Jyoti Overseas Ltd	64.62976
523888	V R Woodart Ltd	148.91806
523890	D.S.Kulkarni Developers Ltd	258.01008
523896	AVI PRODUCTS INDIA LIMITED	33.06802
524000	POONAWALLA FINCORP LIMITED	7715.21607
524009	Raashi Fertilizers Ltd.	60.90000
524013	Hindustan Flurocarbons Ltd.	195.99100
524019	Kingfa Science & Technology (I	121.10461
524031	Patidar Buildcon Limited	55.00570
524037	Rama Phosphates Ltd.	176.51229
524038	Venlon Enterprises Ltd.	522.42494
524046	Pet Plastics Ltd.	5.00000
524051	Polyplex Corporation Ltd.	313.92462
524055	Panther Industrial Products Lt	14.00007
524075	Albert David Ltd.	57.07162
524080	Haryana Leather Chemicals Ltd.	49.08470
524091	CARYSIL LIMITED	268.15930
524109	Kabra Extrusion Technik Ltd	349.72836
524129	Vinyl Chemicals (India) Ltd.	183.37111
524136	Pee Cee Cosma Sope Ltd.	26.46250
524156	TCM Ltd.	74.77877
524164	IOL Chemicals & Pharmaceutical	587.05502
524174	Kesar Petroproducts Ltd	966.73170
524200	Vinati Organics Ltd.	1027.82050
524202	Lactose (India) Ltd.	125.89000
524204	Teesta Agro Industries Ltd	56.10000
524208	Aarti Industries Ltd	3625.04035
524210	Pentokey Organy (India) Ltd.	62.72629
524212	Wanbury Limited	327.45498
524218	Resonance Specialties Limited	115.44000
524226	Gujarat Ambuja Exports Ltd.	2293.35330
524230	Rashtriya Chemicals & Fertiliz	5516.88100
524238	Gujarat Inject (Kerala) Ltd.	48.99000
524264	Unimers India Ltd.	159.01999
524280	Kopran Ltd.	482.10605
524288	Aimco Pesticides Ltd.	95.82513
524314	Gujarat Terce Laboratories Ltd	74.20300
524316	Hindustan Photo Films Mfg. Co.	2008.65000
524322	Kabra Drugs Ltd	43.88600
524324	Seya Industries Ltd	265.70540
524330	Jayant Agro-Organics Limited.	300.00000
524332	BCL INDUSTRIES LIMITED	2683.50000
524336	Shree Hari Chemicals Export Lt	44.46300
524342	Indo Borax & Chemicals Ltd.	320.90000
524348	Aarti Drugs Limited	919.35000
524366	Claro India Ltd	50.00000
524370	Bodal Chemicals Ltd	1257.89565
524372	Orchid Pharma Limited	507.19105
524388	Crazy Infotech Ltd.	668.81000
524394	Vimta Labs Ltd.	221.65365
524396	Biofil Chemicals & Pharmaceuti	162.73800
524400	Ishita Drugs & Industries Ltd.	29.90300
524404	Marksans Pharma Ltd.	4531.63746
524408	Universal Starch-Chem Allied L	42.00000
524412	Aarey Drugs & Pharmaceuticals	253.84684
524414	Norris Medicines Ltd.	100.00700
524434	Asian Petroproducts & Exports	86.67500
524440	Camex  Ltd.	102.08700
524444	EVEXIA LIFECARE LIMITED	6644.33330
524458	Indo Euro Indchem Limited	90.54500
524470	Syncom Formulations (India) Lt	9400.00000
524480	Riddhi Siddhi Gluco Biols Ltd	71.29786
524488	SVC INDUSTRIES LIMITED	1630.95352
524494	Ipca Laboratories Ltd.	2536.57218
524500	Kilitch Drugs (I) Ltd.	160.82319
524502	Raaj Medisafe India Limited	109.37612
524504	Revati Organics Ltd.	30.00000
524506	Coral Laboratories Ltd.	35.72600
524514	Tulasee Bio-Ethanol Ltd.	58.93100
524516	Bacil Pharma Ltd.	58.90000
524518	Krebs Biochemicals & Industrie	215.60586
524520	KMC Speciality Hospitals India	1630.85000
524522	Laffans Petrochemicals Ltd.	80.00000
524534	Bhaskar Agrochemicals Ltd.	52.09633
524542	Sukhjit Starch & Chemicals Ltd	156.22000
524546	Satiate Agri Limited	29.27200
524548	Sharma East India Hospitals An	32.83800
524558	Neuland Laboratories Limited.	128.29889
524564	Gayatri BioOrganics Ltd	617.81340
524570	Poddar Pigments Ltd.	106.10000
524572	Pharmaids Pharmaceuticals Ltd.	214.86234
524576	Vivid Global Industries Limite	91.28870
524580	Priya Limited.	30.02300
524582	Tirupati Starch & Chemicals Lt	95.89221
524590	Hemo Organic Limited	34.65900
524592	JD Orgochem Ltd.	132.50000
524594	Ashok Alco-Chem Ltd.	46.00343
524598	AksharChem (India) Ltd.	80.33099
524602	BANDARAM PHARMA PACKTECH LIMIT	120.00000
524604	ADLINE CHEM LAB LIMITED	58.50000
524606	Beryl Drugs Ltd.	50.71700
524610	Rathi Graphics Technologies lt	164.39000
524614	IEL LIMITED	333.76330
524622	iStreet Network Limited	213.00000
524624	Gagan Gases Ltd.	45.18500
524628	Parker Agro Chem Export Ltd.	47.79000
524632	Shukra Pharmaceuticals Limited	109.46986
524634	Alufluoride  Ltd.	78.20482
524636	OXYGENTA PHARMACEUTICAL LIMITE	334.83500
524640	Archit Organosys Limited	204.99435
524642	Sikozy Realtors Limited	445.83000
524648	Indo Amines Ltd.	706.97560
524652	Ind-Swift Ltd.	541.64653
524654	Natural Capsules Ltd.	93.21575
524661	Welcure Drugs & Pharmaceutical	135.12100
524663	Bharat Immunologicals & Biolog	431.80000
524667	Savita Oil Technologies Limite	691.00415
524669	Hester Biosciences Ltd	85.06865
524671	Pinky Chemicals ltd.	50.00000
524675	Kabsons Industries Ltd.	174.63000
524687	Basant Agro-Tech (India) Ltd.	906.27500
524689	Parenteral Drug (India) Ltd.	298.16300
524695	Asian Fertilisers Ltd.	79.01500
524703	Sandu Pharmaceuticals Ltd.	96.60990
524709	NACL Industries Limited	1991.55177
524711	Vista Pharmaceuticals Ltd.	367.93907
524715	Sun Pharmaceutical Industries	23992.76360
524717	Titan Bio-Tech Ltd.	82.63700
524723	Bijoy Hans Ltd	30.00021
524727	Span Divergent Limited	54.61747
524731	Jenburkt Pharmaceuticals Ltd.	44.13300
524735	Hikal Ltd.	1233.00750
524742	Caplin Point Laboratories Ltd.	759.41746
524743	Fischer Chemic Ltd.	535.00000
524748	Link Pharma Chem Ltd.	44.40568
524752	DECIPHER LABS LIMITED	101.00000
524764	Nutraplus India Limited	340.91086
524768	Emmessar Biotech & Nutrition L	49.96100
524774	NGL Fine Chem Ltd.	61.78024
524790	Everest Organics Ltd.	80.00000
524804	Aurobindo Pharma Ltd.	5859.38609
524808	Phyto Chem (India) Ltd.	43.00200
524816	Natco Pharma Ltd.	1791.09870
524818	Dynamic Industries Ltd.	30.28500
524820	Panama Petrochem Ltd.	604.93598
524824	Bal Pharma Ltd.	158.04372
524828	BDH Industries Ltd.	57.57300
526001	Jauss Polymers Ltd	46.25575
526009	Procal Electronics India Ltd	35.00000
526025	Globus Constructors & Develope	989.48480
526027	Cubex Tubings Ltd	143.18975
526043	Polymechplast Machines Ltd.	56.01710
526071	STELLANT SECURITIES (INDIA) LI	7.40480
526073	Galaxy Bearings Ltd.	31.80000
526075	Rekvina Laboratories Ltd	60.28000
526081	SC Agrotech Limited	59.95000
526091	Rane Computers Consultancy Ltd	77.50000
526093	Sathavahana Ispat Ltd.	509.00000
526095	Ravileela Granites Limited	105.86000
526113	Uniroyal Marine Exports Ltd.	64.79500
526115	Karan Woo-sin ltd.	82.35000
526117	Shervani Industrial syndicate	27.01018
526125	BN HOLDINGS LIMITED	98.98300
526133	Supertex Industries Ltd	113.41320
526137	Shetron Ltd.	90.03300
526139	Transgene Biotek Ltd.	657.70000
526143	MPL Plastics Limited	112.47100
526159	Nikhil Adhesives Ltd.	459.43000
526161	Spenta International Ltd.	27.64326
526169	Multibase India Ltd	126.20000
526173	Andrew Yule & Company Ltd	4889.50978
526179	Ludlow Jute & Specialities Ltd	107.73120
526187	Ashram Online.com Ltd	120.00000
526193	Royal Cushion Vinyl Products L	365.88462
526195	Neogem India Limited	81.72000
526211	Suraj Industries Limited.	128.45896
526217	Hitech Corporation Limited	171.75700
526225	Bloom Dekor Ltd.	68.50000
526227	Filatex India Ltd.	4438.55500
526231	Standard Surfactants Ltd.	82.61600
526235	Mercator Limited	3024.59335
526237	Morgan Ventures Ltd.	100.00000
526241	Amrapali Industries Ltd	514.10564
526247	Premier Explosives Ltd.	107.52239
526251	Mid East Portfolio Management	50.30000
526263	Mold-Tek Technologies Ltd	283.91062
526269	Crestchem Ltd.	30.00000
526299	Mphasis Limited	1889.05659
526301	Medinova Diagnostic Services L	99.81640
526315	DIVYASHAKTI LIMITED	102.68870
526321	Maniyar Plast ltd.	43.80000
526325	Orient Press ltd.	100.00000
